formula,count_regular,percent_regular,os,n_days,count_on_request,percent_on_request,pct_on_request
libewf,3063,0.01,macos,30,1014,0.01,33.10479921645445
yamllint,3056,0.01,macos,30,3049,0.04,99.77094240837697
php-cs-fixer,3055,0.01,macos,30,3009,0.04,98.49427168576105
libexif,3053,0.01,macos,30,242,0.0,7.926629544710122
winetricks,3053,0.01,macos,30,3038,0.04,99.50867998689813
gtksourceview4,3047,0.01,macos,30,1087,0.01,35.67443386937972
d12frosted/emacs-plus/emacs-plus@27,3046,0.01,macos,30,2612,0.03,85.75180564674983
fswatch,3046,0.01,macos,30,2125,0.02,69.76362442547604
pstoedit,3034,0.01,macos,30,398,0.0,13.117996044825315
gtkmm,3026,0.01,macos,30,1673,0.02,55.28750826173165
mhash,3021,0.01,macos,30,156,0.0,5.163853028798411
iproute2mac,3016,0.01,macos,30,2989,0.03,99.10477453580901
docker-completion,2993,0.01,macos,30,2984,0.03,99.69929836284665
diff-pdf,2991,0.01,macos,30,2961,0.03,98.99699097291875
libpcap,2945,0.01,macos,30,889,0.01,30.186757215619693
koekeishiya/formulae/yabai,2935,0.01,macos,30,2934,0.03,99.96592844974447
fig2dev,2932,0.01,macos,30,216,0.0,7.3669849931787175
sl,2929,0.01,macos,30,2924,0.03,99.829293274155
argocd,2927,0.01,macos,30,2897,0.03,98.97505978817902
wix/brew/applesimutils,2920,0.01,macos,30,2919,0.03,99.96575342465754
gpatch,2911,0.01,macos,30,382,0.0,13.122638268636209
openshift-cli,2909,0.01,macos,30,2882,0.03,99.07184599518735
git-flow,2901,0.01,macos,30,2901,0.03,100.0
glfw,2892,0.01,macos,30,2643,0.03,91.39004149377593
libxcursor,2886,0.01,macos,30,16,0.0,0.5544005544005544
oath-toolkit,2880,0.01,macos,30,2581,0.03,89.61805555555556
asciinema,2847,0.01,macos,30,2830,0.03,99.40288022479803
firebase-cli,2843,0.01,macos,30,2841,0.03,99.92965177629264
tepl,2837,0.01,macos,30,363,0.0,12.795206203736342
lzlib,2812,0.01,macos,30,371,0.0,13.193456614509246
serverless,2808,0.01,macos,30,2799,0.03,99.67948717948718
md5sha1sum,2801,0.01,macos,30,2566,0.03,91.61013923598715
ext4fuse,2786,0.01,macos,30,2784,0.03,99.92821249102656
pipx,2785,0.01,macos,30,2784,0.03,99.9640933572711
pstree,2747,0.01,macos,30,2745,0.03,99.92719330178377
aircrack-ng,2731,0.01,macos,30,2709,0.03,99.19443427316001
swiftgen,2724,0.01,macos,30,2716,0.03,99.70631424375918
